screen_name profile_duration default_profile default_profile_image description_not_null favourites_count followers_count friends_count geo_enabled listed_count location_not_null profile_use_background_image protected statuses_count url_not_null verified class
QUEENjuiceii 983.349583333 0 0 1 4 870 694 1 15 1 1 0 27173 0 0 1
ca_wave 723.835405093 0 0 1 6 13 417 0 0 1 1 0 406 0 0 1
Fabian13san 854.586608796 0 0 1 363 24619 24786 1 9 1 1 0 9740 0 0 1
AudreyCornforth 1279.61068287 0 0 1 3 242 183 1 2 1 1 0 1080 1 0 1
jitendra_ 1493.31318287 0 0 1 139 862 514 0 46 1 1 0 4751 1 0 1
laryssa_JB1 314.846354167 0 0 1 19 91 156 0 0 1 1 0 392 1 0 1
c1o4d3ysimpson 319.761342593 0 0 1 8 57 125 0 0 1 1 0 19 0 0 1
DrTanmayBagade 484.588020833 1 0 1 0 29 112 0 0 1 1 0 252 0 0 1
SineadOGorman 1105.454097222 0 0 1 8 85 667 1 0 1 1 0 275 0 0 1
TangeLink 72.241527778 1 0 1 3 4 14 0 0 1 1 0 6 0 0 1
MalikUnited 266.958275463 0 0 1 223 19551 3920 0 11 1 1 0 971 0 0 0
ToteBangas 321.568402778 1 0 1 22 178 968 0 0 1 1 0 730 0 0 1
moralescarlos_ 855.963831019 0 1 1 6 186 1972 1 1 1 1 0 2531 0 0 1
stewa333 189.412465278 0 0 1 56 16 83 1 1 1 1 0 112 0 0 1
panadiraga 371.961666667 0 0 1 1 56 97 0 0 1 1 0 35 0 0 1
rjbrandclinic 142.507905093 0 0 1 0 190 1158 1 0 1 1 0 15 1 0 0
latrice1jones 1238.280474537 0 0 1 1 64 234 0 1 1 1 0 2671 0 0 1
KELionsRoar 1284.385625 0 0 1 2 7274 7988 0 119 1 1 0 37337 1 0 0
JCeazerWoop 55.435590278 0 0 1 664 864 805 0 0 1 1 0 2928 0 0 1
ayugatha 16.04462963 1 0 1 0 4 14 0 0 1 1 0 6 0 0 1
ShortStop70 1307.882997685 0 0 1 36 346 1225 1 1 1 1 0 3337 0 0 1
JEliiff 371.39193287 0 0 1 109 843 1848 1 1 1 1 0 655 0 0 1
verinka981 121.536122685 0 0 1 4 807 1757 0 0 1 1 0 69 0 0 1
dancigo 121.708298611 0 0 1 5 152 348 0 0 1 1 0 668 0 0 1
_happy_face2000 32.624351852 0 0 1 35 9 55 0 0 1 0 0 115 1 0 1
TylerBorchers 556.07681713 1 0 1 3 1548 680 0 16 1 1 0 3218 1 0 0
dannyboi59 1474.583796296 0 0 1 1 159 657 1 1 1 1 0 536 0 0 1
CVille_NOW 137.9940625 1 0 1 1 143 557 0 7 1 1 0 343 1 0 0
nuramaaji 430.887592593 1 0 1 3 98 511 1 0 1 1 0 833 1 0 0
Unidaspeloendo 320.089768519 0 0 1 0 188 1070 0 0 1 1 0 32 0 0 1
d3xt4 1371.505289352 0 0 1 107 447 515 0 0 1 1 0 3065 1 0 1
2chainzEppss 167.142418981 0 0 1 0 58 229 0 0 1 1 0 13 0 0 0
ItsArom 999.440335648 0 0 1 13 114 493 1 0 1 1 0 561 0 0 1
Big_Crumbs 1290.214699074 0 0 1 0 1416 1498 0 2 1 1 0 31 1 0 0
StephaneBak 1031.701851852 0 0 1 149 54296 582 0 162 1 1 0 10839 0 1 0
BPR20121 150.976631944 1 0 1 35 53 83 0 1 1 1 0 60 0 0 1
erikascardenas 11.009525463 1 1 1 0 41 944 0 0 1 1 0 9 0 0 1
BlackTeeDaPromo 1367.846076389 0 0 1 641 5525 4689 1 49 1 1 0 50414 1 0 0
AustinMaville 7.014895833 1 0 1 0 32 653 0 0 1 1 0 2 0 0 1
JaazAnabel 333.515439815 0 0 1 13 367 215 0 0 1 1 0 31966 1 0 1
kristinminde 1301.315150463 0 0 1 1 114 94 0 1 1 1 0 72 1 0 0
clement_matlala 920.212789352 1 0 1 2 25 75 0 0 1 1 0 12 0 0 1
ANWARALISHAIKH1 64.534282407 1 0 1 1 260 1989 0 1 1 1 0 90 1 0 0
darwisbeiterz19 433.632106481 0 0 1 230 889 1978 1 0 1 1 0 6161 1 0 1
SI_CMann 852.121828704 1 0 1 0 1233 81 0 25 1 1 0 14 1 0 0
CanadaElections 1393.338576389 0 0 1 0 88 0 0 6 1 0 0 457 1 0 0
bandalipstick 1318.896157407 0 0 1 14 73047 63460 0 3276 1 1 0 41010 1 0 0
yaan96 379.511238426 0 0 1 3 308 116 0 0 1 1 0 2168 0 0 1
sidney_ella 1289.372222222 0 0 1 46 406 613 0 15 1 1 0 12731 1 0 1
yudiboerlian 1467.307708333 0 0 1 211 376 619 0 3 1 1 0 1066 0 0 1
sergiogrin 415.180219907 1 1 1 0 5 16 0 0 1 1 0 1 0 0 1
PratticusFinch 671.6384375 0 0 1 129 82 847 1 2 1 1 0 2479 0 0 1
rosenbergjens 266.241875 0 0 1 0 9 51 1 0 1 1 0 314 1 0 1
JNImpressos 379.592696759 0 0 1 0 437 1962 0 2 1 1 0 170 1 0 0
